Address,Address - Zip Code,Listing Date,Listing Price,Pending Date,Price Per Sq Ft,Selling Date,Selling Price
"1607 W Locust St Lodi, CA 95242-2944",95242,5/1/2010,125000,6/7/2011,107.76,7/14/2011,125000
"826 S School St Lodi, CA 95240-4753",95240,6/7/2011,124260,6/30/2011,100.16,8/24/2011,125000
"501 Sturla St Lodi, CA 95240-3914",95240,2/1/2011,124900,7/29/2011,91.51,8/29/2011,125000
"1101 S Crescent Ave Lodi, CA 95240-5601",95240,2/15/2011,137900,8/5/2011,73.62,9/8/2011,125000
"416 Olive Ct Lodi, CA 95240-1043",95240,8/31/2011,115000,9/30/2011,81.81,11/29/2011,125000
"500 E Oak St Lodi, CA 95240",95240,6/7/2011,129000,12/1/2011,107.39,1/25/2012,125000
"2107 Jerry Ln Lodi, CA 95242-2840",95242,3/14/2011,125000,1/23/2012,93.01,2/8/2012,125000
"110 S Garfield Lodi, CA 95240",95240,6/7/2011,134950,3/6/2012,102.88,4/17/2012,125000
"317 N Mills Ave Lodi, CA 95242-2543",95242,2/28/2012,119900,3/6/2012,126.52,4/18/2012,125000
"1943 E Century Pl Lodi, CA 95240",95240,3/14/2012,125000,3/15/2012,83.44,4/19/2012,125000
"86 Lark St Woodbridge, CA 95258-9720",95258,2/24/2012,109600,3/7/2012,91.64,5/7/2012,125000
"401 Forrest Ave Lodi, CA 95240-1019",95240,2/10/2012,119000,4/2/2012,105.22,5/17/2012,125000
"1431 Holly Dr Lodi, CA 95242-2424",95242,5/10/2012,139900,6/12/2012,95.71,8/13/2012,125000
"1706 W Lockeford St Lodi, CA 95242-2514",95242,6/27/2012,105000,7/12/2012,115.74,8/27/2012,125000
"2324 Modoc Way Lodi, CA 95242-2106",95242,8/1/2012,125000,8/9/2012,111.51,8/31/2012,125000
"1431 S Sacramento St Lodi, CA 95240-6221",95240,8/22/2012,129900,11/2/2012,116.39,12/21/2012,125000
"2400 Eilers Ln #1501 Lodi, CA 95242",95242,8/2/2012,124950,8/21/2012,93.28,1/4/2013,125000
"535 Brandywine Dr Lodi, CA 95240-6160",95240,7/16/2012,125000,3/8/2013,99.92,4/9/2013,125000
"1611 Kent Dr Lodi, CA 95242-3828",95242,4/18/2012,125000,4/3/2013,84.35,4/15/2013,125000
"11 Lowe St Lodi, CA 95240-6219",95240,2/14/2013,130000,5/13/2013,139.51,6/17/2013,125000
"311 Watson St Lodi, CA 95240-4825",95240,6/17/2013,124950,6/18/2013,122.19,7/2/2013,125000
"120 N Crescent Ave Lodi, CA 95240-1802",95240,1/27/2013,98000,2/8/2013,141.4,7/24/2013,125000
"1330 S Church St Lodi, CA 95240-5716",95240,6/13/2013,120000,7/1/2013,99.52,8/23/2013,125000
"709 W Lockeford St Lodi, CA 95240-1957",95240,6/12/2009,119000,6/24/2009,91.31,7/17/2009,125100
"21 Tamarack Dr Lodi, CA 95240-5746",95240,6/18/2013,101000,6/25/2013,83.98,11/27/2013,125300
"519 Brandywine Dr Lodi, CA 95240-6160",95240,8/9/2013,125000,10/1/2013,114.1,10/23/2013,125400
"624 Park St Lodi, CA 95240-5219",95240,1/5/2009,119900,4/20/2009,122.68,6/22/2009,125500
"1224 S Church St Lodi, CA 95240-5714",95240,7/22/2009,117500,7/29/2009,62.44,8/7/2009,125500
"15441 Hilde Ln Lodi, CA 95242-9264",95242,5/14/2010,124900,5/18/2010,112.66,5/28/2010,125500
"1209 S Washington St Lodi, CA 95240-5912",95240,12/4/2010,124600,3/17/2011,69.72,5/6/2011,125500
"161 S Corinth Ave Lodi, CA 95242-3051",95242,2/2/2011,147000,11/3/2011,44.32,12/27/2011,125500
"483 La Salle St Woodbridge, CA 95258-9113",95258,8/12/2011,124900,9/28/2011,128.27,11/4/2011,125700
"1736 S School St Lodi, CA 95240-6249",95240,7/8/2010,125900,7/29/2010,110.25,8/20/2010,125900
"845 S Church St Lodi, CA 95240-4718",95240,5/7/2012,129900,7/31/2012,98.59,9/27/2012,125900
"1864 Almondwood Pl Lodi, CA 95240-8854",95240,11/26/2010,126000,12/3/2010,89.36,12/21/2010,125999
"405 Forrest Ave Lodi, CA 95240-1019",95240,3/16/2009,119900,3/18/2009,109.28,5/15/2009,126000
"1028 N Lincoln Ave Lodi, CA 95240-0502",95240,6/15/2008,139950,5/25/2009,103.62,6/30/2009,126000
"17 W Daisy Ave Lodi, CA 95240-1213",95240,5/1/2009,104900,7/17/2009,93.89,11/10/2009,126000
"1032 Dartmoor Cir Lodi, CA 95240-6608",95240,11/20/2010,129500,1/8/2011,70.59,2/2/2011,126000
"5338 E Harney Ln Lodi, CA 95240-6903",95240,1/5/2011,124900,3/16/2011,90.26,3/28/2011,126000
"1614 Sutter Ln Lodi, CA 95240-6268",95240,4/6/2011,114900,4/25/2011,105.88,4/29/2011,126000
"743 Brandywine Dr Lodi, CA 95240-6128",95240,10/5/2012,125900,2/20/2013,100.48,2/21/2013,126000
"925 Wellswood Ave Lodi, CA 95240-5311",95240,9/13/2013,129000,10/16/2013,138.77,11/20/2013,126000
"2126 W Pine St Lodi, CA 95242-2859",95242,5/19/2011,126000,5/24/2011,95.9,8/11/2011,126199
"2121 Yosemite Dr Lodi, CA 95242-2250",95242,8/18/2011,114900,10/26/2011,93.83,11/10/2011,126300
"1131 Woodrow St Lodi, CA 95240-4324",95240,7/14/2009,122500,7/23/2009,101.61,8/21/2009,126400
"327 W Eureka Ave Lodi, CA 95240",95240,2/6/2013,124450,2/22/2013,124.51,4/16/2013,126500
"2401 Eilers Ln #307 Lodi, CA 95242-9147",95242,8/27/2013,115000,9/9/2013,105.71,10/4/2013,126750
"2250 Scarborough Dr #54 Lodi, CA 95240-6651",95240,11/12/2008,129900,1/28/2009,116.21,2/13/2009,126900
"430 Concord St Lodi, CA 95240-5317",95240,5/14/2008,119900,9/5/2008,146.99,12/2/2008,127000
"401 S Central Ave Lodi, CA 95240-4103",95240,8/30/2010,129950,10/1/2010,88.19,1/28/2011,127000
"2024 Debbie Ln Lodi, CA 95242-2815",95242,3/3/2011,126900,3/12/2011,115.04,4/15/2011,127000
"1127 S Mills Ave Lodi, CA 95242-3835",95242,12/9/2010,129900,4/7/2011,88.81,4/22/2011,127000
"266 Mulberry Cir Lodi, CA 95240-7156",95240,2/24/2011,129900,5/31/2011,95.27,7/25/2011,127000
"230 Acacia St Lodi, CA 95240-5902",95240,5/23/2012,119000,7/22/2012,93.04,8/29/2012,127000
"773 E Century Pl Lodi, CA 95240-8831",95240,1/25/2012,118000,9/20/2012,100,2/15/2013,127000
"308 Maple St Lodi, CA 95240-4845",95240,6/20/2012,139000,12/10/2012,69.55,2/15/2013,127000
"743 Eureka Ave Lodi, CA 95240-0905",95240,11/3/2009,125000,3/22/2010,125.12,4/9/2010,127500
"181 Mulberry Cir Lodi, CA 95240-7158",95240,11/11/2011,126900,12/13/2011,114.76,2/24/2012,127500
"830 S School St Lodi, CA 95240",95240,8/9/2013,139000,9/16/2013,140.11,10/22/2013,127500
"931 S Hutchins St Lodi, CA 95240-5242",95240,1/29/2009,129900,2/5/2009,88.09,4/24/2009,127900
"1301 S Washington St Lodi, CA 95240-5914",95240,12/26/2007,115000,10/29/2008,144.96,11/26/2008,128000
"717 Alicante Dr Lodi, CA 95240-5608",95240,11/19/2008,119900,11/21/2008,111.4,1/8/2009,128000
"2250 Scarborough Dr #21 Lodi, CA 95240-6646",95240,9/17/2009,128000,3/3/2010,117.22,4/7/2010,128000
