"Address","Address - Zip Code","Listing Date","Listing Price","Pending Date","Price Per Sq Ft","Selling Date","Selling Price"
"4729 Balsam Dr Stockton, CA 95212-2107","95212","11/16/10","83660","12/10/10","92.63","03/08/11","83000"
"4662 Balsam Dr Stockton, CA 95212-2141","95212","10/22/10","74900","03/22/11","45.96","04/07/11","77900"
"4940 Quashnick Rd Stockton, CA 95212-2514","95212","11/18/10","79900","05/06/11","48.52","05/26/11","77000"
"4636 Quashnick Rd Stockton, CA 95212-2516","95212","03/31/10","99900","08/16/10","101.39","08/31/10","70875"
"9651 Cole Dr Stockton, CA 95212-2025","95212","07/14/14","149000","08/08/14","178.22","10/02/14","180000"
"5248 E Ashley Ln Stockton, CA 95212-2414","95212","03/09/13","194900","03/14/13","123.32","04/24/13","183500"
"4930 Quashnick Rd Stockton, CA 95212-2514","95212","02/08/11","75000","03/04/11","66.29","07/08/11","70000"
"4433 Shippee Ln Stockton, CA 95212-1308","95212","01/09/12","66200","01/17/12","64.04","08/01/12","65000"
"4658 Cosmos Dr Stockton, CA 95212-2114","95212","05/07/09","48000","05/14/09","45.45","06/08/09","48000"
"8366 Treasure Ave Stockton, CA 95212-1926","95212","05/25/10","134000","08/24/10","86.51","10/07/10","134000"
"4611 Hibiscus Rd Stockton, CA 95212-2521","95212","11/03/10","119900","11/23/10","142.23","12/29/10","130000"
"4657 Hibiscus Rd Stockton, CA 95212-2521","95212","01/29/10","129900","02/11/10","100.70","03/19/10","129900"
"4708 Dahlia Dr Stockton, CA 95212-2118","95212","05/29/12","119950","06/04/12","106.93","07/11/12","128000"
"9172 Gary Ave Stockton, CA 95212-2303","95212","05/20/10","214900","07/12/10","159.31","07/13/10","195000"
"4706 Eastview Dr Stockton, CA 95212-2122","95212","01/11/13","128900","02/01/13","115.85","04/16/13","125000"
"9545 Leland Way Stockton, CA 95212-2415","95212","12/04/09","159900","02/26/10","65.51","03/23/10","125000"
"10333 Garnet Ave, Stockton, CA 95212-2134","95212","10/09/15","185000","10/29/15","195.00","12/03/15","195000"
"4639 E Quashnick Rd Stockton, CA 95212-2517","95212","01/11/08","199950","06/30/08","128.78","11/18/08","200000"
"4908 Shippee Ln Stockton, CA 95212-1922","95212","05/12/10","249000","06/03/10","100.45","07/30/10","200000"
"7200 E Eight Mile Rd, Stockton, CA 95212","95212","08/27/14","250000","04/30/15","126.50","07/07/15","200000"
"9976 Hazel Rd Stockton, CA 95212-9433","95212","09/18/13","240000","09/22/13","123.01","03/27/14","200500"
"4705 Dahlia Dr Stockton, CA 95212-2117","95212","07/22/10","135000","08/09/10","105.26","11/18/10","136000"
"4803 Balsam Dr Stockton, CA 95212-2109","95212","02/03/09","129900","02/13/09","104.17","03/27/09","137500"
"4707 hisbiscus, Stockton, CA 95212-2511","95212","09/28/15","189000","10/06/15","196.41","12/31/15","202500"
"4658 Cosmos Dr Stockton, CA 95212-2114","95212","08/19/09","139900","09/01/09","130.21","09/01/09","137500"
"4742 Balsam Dr Stockton, CA 95212-2108","95212","10/07/08","139900","11/13/08","143.05","01/12/09","139900"
"9229 Valley Dr Stockton, CA 95212-1515","95212","03/26/13","207000","08/08/13","182.86","08/12/13","207000"
"10215 Freesia Ave, Stockton, CA 95212-2128","95212","09/01/15","210000","09/06/15","190.96","10/02/15","207000"
"4720 Hibiscus Rd Stockton, CA 95212-2520","95212","09/29/10","144950","09/01/11","93.04","09/08/11","155000"
"9209 Nassano Dr Stockton, CA 95212-2329","95212","12/10/08","154900","02/11/09","119.21","04/07/09","157000"
"4739 Eastview Dr Stockton, CA 95212-2121","95212","12/06/10","169900","01/04/11","84.93","01/10/11","160000"
"8315 Treasure Ave Stockton, CA 95212-1925","95212","09/09/10","260000","10/18/10","119.52","11/29/10","210000"
"4806 Cosmos Dr, Stockton, CA 95212-2116","95212","05/01/16","215000","06/06/16","209.16","07/26/16","210000"
"9756 Springfield Way Stockton, CA 95212-2019","95212","05/02/11","170000","05/01/12","91.41","05/25/12","165000"
